,username,following,followers,retweetcount,text,date
66,markjeffrey,5283,48671,0,"Tether is down 3% of the market share from December 2021

USDC is up 1%

Binance USD is also up 1%. 

So Tether and DAI are shrinking, with UST, USDC, Binance USD are ascendant. 

Everything else treading water.",2007-12-21 02:18:08+00:00
67,Triumph6Capital,442,276,1,"@GaryGensler When will you do your job and shut down the #crypto criminals?Counterfeiting of billions of tether, widespread rug pulls, vast manipulation and yet you do nothing. The #tether scam is the biggest Ponzi scheme in history and it is occurring on your watch.MAKE IT STOP! https://t.co/aL87uv6vOo https://t.co/QX2wrgl9U6",2021-08-12 04:01:08+00:00
68,1JeiceLaurent,661,835,0,Only y’all foreigners will tether into black til you want your foreign national recognition. Stay over there in the foreigner section. Regular Black ppl aren’t foreign https://t.co/NaQ6OtVqaL,2019-04-23 12:48:51+00:00
69,Taylor18406851,134,145,13,"Whether anyone wants to believe me or not, this little OTC company $APTY is releasing a DeFi product that will compete directly with the multiple billion dollar market cap #Tether &amp; frankly @APTYsys #Spera stablecoin is far superior to USDT and 99% of existing coins… #NASDAQ 😉 https://t.co/4cElrj1yxV",2021-05-17 16:13:36+00:00
70,humie25,170,26,0,"https://t.co/gkt7mXfgy6
Reached peak equilibrium…
You know me 🤷🏻‍♂️ no tether… look out below 😉 Hold my beer; BRB https://t.co/nAA7YnwCRK",2008-04-25 02:04:23+00:00
71,darkphoenix2323,603,40,0,@MELD_labs @wingriderscom @Tether_to @coinbase Price action isn’t,2016-02-29 23:42:05+00:00
72,Angel617Liz,705,2125,2171,"Lost💔
🥀without you

🎼Music 🎥Video🍿

Featuring💫
“Tether me” by Galleaux
 from✨
 Lucifer - Season 5

👇Click the YouTube link👇
https://t.co/HbcbgT3vYP 

#Cactustweets_ 🌵 #Lucifer #RockstarGames @galleauxmusic @RockstarGames https://t.co/bgwRWtChPw",2017-09-23 20:13:49+00:00
73,angelic_elaina,1104,2531,1,@jimmyperry0621 @ToniLaNae That part. Like you have zero creditability tether.,2013-08-07 17:30:37+00:00
74,cryptomuskafa,10,154,0,"Yuh! 15.75 nedir?

#USDTRY #Tether $USDT https://t.co/hEHcPZpuLa",2021-04-08 15:59:40+00:00
75,jythapharaoh,212,402,53,"We need to educate younger generations on #bitcoin stacking and protection of private wealth.
At #tether we're planning important investments on this matter. More details to come in coming weeks.",2020-06-30 05:50:49+00:00
76,angelic_elaina,1104,2531,0,@GeauxJuan @ToniLaNae Yes he was. Had it been a Black woman that tether would have been mad disrespectful.,2013-08-07 17:30:37+00:00
