,Unnamed: 0,username,following,followers,retweetcount,text,date,show
93,93,DamelisMorales2,1,0,0,this zesty faucet from @_bitcoiner is making me tweet this to claim my free lightning sats high_voltage unlock me 2782492f 3202 4e9c 84de 81e8290d08fe,2022-04-22 16:26:13+00:00,1
94,94,aliasde7,889,7,683,$100 in among the first 300 people who follow and retweet drop your wallets,2016-02-06 13:21:49+00:00,0
95,95,SymbianSyMoh,998,26754,0,do not care much about usability want more security yeah why not your fingerprint is your unique signature heart_suit,2010-11-25 17:39:21+00:00,0
96,96,auspiciousnash,1983,361,4417,$150 in 36 hours dragon_face dragon rt + follow _aicrypto + rt pushpin $ape $creek $btc $btcusd $jewel $gst $ftm $bnb $eth $nexo $looks $hex $fil $xmr,2021-06-13 05:24:29+00:00,0
97,97,BhagwatThorat3,1026,30,155,is always a good idea winking_face,2020-09-08 00:53:56+00:00,0
98,98,alwaysat420,368,78,221,just in has fallen to $38 00,2016-02-21 21:47:38+00:00,0
99,99,lucaspinaffi,387,115,298,charlie munger bitcoin “makes me look bad ” yes,2010-05-06 18:18:44+00:00,0
100,100,waterdragon168,434,266,0,sir please do not hesitate to tweet something negative about bitcoin just tweet,2020-12-21 08:58:27+00:00,0
101,101,geekinteger,0,46,0,is web3 like taking part in minecraft,2017-01-16 18:14:44+00:00,0
102,102,GreenDave16,982,240,0,sovereign funds are not investing in despite portfolio rebalance,2019-09-29 11:48:35+00:00,0
103,103,DiSiAsu,290,13,21,nft giveaway rocket rocket to enter follow & _ thumbs_up rt & _ pin tweet (required) tag 2 friends check_mark_button,2022-04-07 17:38:18+00:00,1
104,104,guled223,2103,314,27,still do not understand how the utxo model works for check out our most recent on our youtube channel so you can explain it easily down_arrow,2014-09-07 03:36:44+00:00,0
105,105,CoreyTMitchell,599,140,959,the heart of africa has adopted as legal tender only a matter of time until the rest of the continent follows,2011-12-06 17:14:13+00:00,0
106,106,Adelgary,840,5440,0,_fuckboi reporting you to,2009-09-12 19:11:58+00:00,0
107,107,cryptomanwow,1301,777,0,i will do impressive shoutout to organic audiences to boost youtube channel,2018-10-01 07:15:36+00:00,0
108,108,AnneMCosgrove2,653,330,6064,alex jones is currently negotiating cooperation with the doj regarding january 6 an anonymous donor just gave jones $1 million worth of bitcoin who is the donor is this witness tampering or obstruction of justice,2018-01-01 17:51:33+00:00,0
109,109,TheGuySwann,2440,56520,23,bitcoin will have to switch to proof of stake upside-down_face solana,2014-03-22 03:09:06+00:00,0
110,110,Jus__izzy,2209,777,397,missed time nft > how to win a gas war on an nft drop 101 (as someone who wins 99 8% of them) stage 1 preparation > open the drop website on tab 1 > find and open the drop's contract on etherscan on tab 2 > open on tab 3 stage 2 minting a thread,2021-07-18 07:04:49+00:00,0
111,111,bitcoincandle,4,38,0,candle of day 30/04/2022 closed open $ 38 603 35 high $ 38 793 68 low $ 37 671 67 close $ 37 695 71 change 2 41%,2021-01-06 01:36:48+00:00,0
112,112,deuxsdo,3,6,0,always recover if you wait long enough if there is any coin not to ever underrate then is btc because the pump will always happen if you are not following you should be there are not many who have a better understanding of value investing great tweets & tips,2012-05-25 01:44:57+00:00,0
113,113,WynonaRyleigh,4992,618,11400,explore phemex universe globe_showing_Europe-Africa and visit planet bitcoin ethereum sand and doge star-struck to collect your very own citizen phemex card flower_playing_cards grab your card and earn bonuses now downwards_button,2022-02-07 19:46:33+00:00,1
114,114,vin_o_nz,946,202,1925,so i hear warren buffett & charlie munger are marketing again,2009-07-08 11:11:27+00:00,0
115,115,jxavierf74,353,171,0,_eagle we need to eliminate the co2 being emitted by the oceans as they contribute to 95% of co2 in the atmos the most viable solution is to fill the oceans with soil…this will also have the added benefit of providing more usable land for agriculture we must act now,2016-04-17 22:31:35+00:00,0
116,116,wswarm,235,1382,0,_chelsea thanks we are actually providing fully functional smart contract examples and how to use etherscan to check for more smart contract source code next week we will also have a stacks 2 0 smart contract deployment on bitcoin double_exclamation_mark easy to learn according to,2009-04-10 21:18:30+00:00,0
117,117,RogerJUlrichJr,5001,2321,1,i'm going to assume this dump is attributed to investors de risking digital assets in light of coming interest rate hikes inflation and gdp dips,2021-02-03 04:08:19+00:00,0
118,118,teddarby1981,831,176,2,$btc 3 day refuse to break support linear 3d chart backhand_index_pointing_down,2015-05-07 22:53:30+00:00,0
119,119,asimansi,785,277,0,“whether it goes up or down in the next year or five or 10 years i do not know but the one thing i'm pretty sure of is that it does not produce anything ” buffett said of cryptocurrency,2011-05-24 14:16:24+00:00,0
120,120,DegenTech_Sol,253,52,122,"_eth bitcoin not crypto like a ""oh i'm really into bitcoins i love all the decentralized governance and daos happening there"" b ""which bitcoin is your favorite "" a ""oh i like solana also tezos the founder is a good guy french believes in anarchocapitalist stuff""",2021-10-04 06:50:17+00:00,0
121,121,DogecoinPostive,126,308,0,i head many bitcoiners are stepping away from bitcoin and joining dogecoin,2019-05-13 20:51:45+00:00,0
122,122,Wakamaka_,390,357,0,how do we stop this manipulator and top indicator to stop tweeting about bitcoin face_with_tears_of_joy,2017-12-17 19:15:32+00:00,0
123,123,_theonlykayy,186,323,397,missed time nft > how to win a gas war on an nft drop 101 (as someone who wins 99 8% of them) stage 1 preparation > open the drop website on tab 1 > find and open the drop's contract on etherscan on tab 2 > open on tab 3 stage 2 minting a thread,2020-08-05 12:29:24+00:00,0
124,124,JennNovak2,170,377,0,bitcoin software can process about 1 700 transaction orders per second,2020-08-23 18:42:58+00:00,0
125,125,sweetburgercom,266,143,0,block 1211371 bytes 2392 transactions 6 30281099btc($237 490) reward for more information visit,2013-05-25 10:36:36+00:00,0
126,126,svstoic,210,50,0,hey guys easy on my gramps respect your elders i know he thinks is rat poison but he does like coke human poison skull_and_crossbones,2022-02-26 04:08:16+00:00,1
127,127,Ibrahim93301274,247,99,0,never give up,2020-05-20 16:57:47+00:00,0
128,128,eip1559,979,3381,0,you can ask many bitcoin maxi experts how they did not imagine they would go past $10k when btc was near $3500 some actually thought that it would be hard to maintain above $20k or even pass $10k when they were screaming $40k in 2018 these are bitcoin bulls that went bearish,2009-08-03 08:36:19+00:00,0
