,Unnamed: 0,username,following,followers,retweetcount,text,date,show
86,86,ridwanferguso,2797,584,1,$fergh,2018-11-23 18:53:23+00:00,0
87,87,rmahdx,287,264,1,i'm going to assume this dump is attributed to investors de risking digital assets in light of coming interest rate hikes inflation and gdp dips,2015-04-20 17:45:38+00:00,0
88,88,eppersimuoveNFT,196,29,1,drum giveway drum to participate you must sports_medal follow@ sports_medal rt this post sports_medal tag 3 friends sports_medal join us,2022-03-31 15:59:57+00:00,1
89,89,MimirToken,2133,22222,1,how to bridge $mimir tokens to or easy flexed_biceps here is our latest step by step article on how to backhand_index_pointing_down backhand_index_pointing_down,2009-03-07 11:54:51+00:00,0
90,90,ETHGasPriceBot,0,1202,0,slow 20 | normal 21 | fast 58 | instant 82 5 backhand_index_pointing_left current ethereum gas prices in gwei dm me a price and i will dm you as soon as gas drops below that price thumbs_up,2021-01-04 09:25:56+00:00,0
91,91,NFT_Hulk,754,512,2,daily drop from _ on is this a dream link in bio,2021-04-12 13:00:00+00:00,0
92,92,thecolor6lack,53,78,0,zombie gay arabia part of my collection titled “gay arabia” rainbow,2021-09-06 11:07:33+00:00,0
93,93,DrBagz888,676,210,182,we know whats up the harvest is going to be legendary fox,2021-11-12 06:12:16+00:00,0
94,94,SontongLandong,1116,46,2047,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life 5 wl spots are up for grab follow retweet like reply,2022-04-19 06:58:56+00:00,1
95,95,riskavera_,3928,1417,1319,the big day has come star-struck rocket mechanical_arm this sunday we are launching our own amazing nft platform smiling_face_with_heart-eyes partying_face to the moon smiling_face_with_sunglasses rocket rocket,2021-03-30 03:07:27+00:00,0
96,96,TickerTop,49,812,1,1 bitcoin price is $37716 88 ( 1 59% 1h) 2 ethereum price is $2734 94 ( 1 99% 1h) 3 tether price is $1 00 ( 0 00% 1h) 4 bnb price is $378 42 ( 2 21% 1h) 5 usd coin price is $1 00 ( 0 01% 1h) 12 dogecoin price is $0 13 ( 2 36% 1h),2018-02-06 13:13:35+00:00,0
97,97,segnora23,4946,46,2047,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life 5 wl spots are up for grab follow retweet like reply,2019-04-26 07:24:55+00:00,0
98,98,SKRAZUKI,4,682,4,bullseye follow me bell bullseye like bullseye retweet bullseye add wallet to pinned tweet,2021-06-07 18:36:25+00:00,0
99,99,danrwanda_,484,846,221,finder's experts predict will end 2022 at $27 per token 75% think is just 'another ' $btc $eth,2021-05-23 07:46:27+00:00,0
100,100,Eduardo73039935,220,2,1454,looking through the videos the photo files my happiest moments are often when i appear at the beach i am the daughter of the sea rolling_on_the_floor_laughing,2022-04-28 11:07:46+00:00,1
101,101,ridwanferguso,2797,584,1,$fergh,2018-11-23 18:53:23+00:00,0
102,102,Serenayyyyss,1088,44,2577,pets crossing a sandbox metaverse game featuring paradise island where your pets live a blissful life win 5 wl spot follow retweet like reply,2022-04-30 08:40:28+00:00,1
103,103,RandomNFT15,1595,163,37,dizzy dizzy 5x guaranteed mint role bastards middle_finger rules small_orange_diamond follow small_orange_diamond rt red_heart small_orange_diamond tag a 2 friend discord alarm_clock 24h,2022-04-17 12:37:18+00:00,1
104,104,Latinart56,183,35,55,check this out fire like retweet & leave a comment about our nfts monkey rocket,2011-03-05 06:57:38+00:00,0
105,105,alatl_burce,4537,363,1090,wrapped_gift eth wrapped_gift prize trophy 1x $100 in $eth trophy 3x wl check_mark_button to enter 1⃣follow me & _timeline 2⃣rt & heart_suit this 3⃣tag 3 friends four_leaf_clover 4 lucky winners high_voltage 48h,2015-09-26 12:02:09+00:00,0
106,106,vasthack_,175,125,0,coinbase account hacked dm for help ￼,2018-08-11 23:50:06+00:00,0
107,107,SilverBallerWiz,1062,950,5,yes i quote all my tweets rolling_on_the_floor_laughing rolling_on_the_floor_laughing fire fire here you go grab a _inc,2022-02-07 16:39:28+00:00,1
108,108,bayodewilliams1,1566,3261,6,there are many different types of non fungible tokens and they can be created on well known blockchains like ethereum and solana nfts are digital asset that represent real world objects (paintings graphics videos gifs songs poems tweets posts even video games…,2017-05-10 15:55:19+00:00,0
109,109,SimpleC9000,58,7,0,simplec found in a blue vault at this location join me playing it is awesome,2014-11-08 04:12:37+00:00,0
110,110,PutinsBitchBoy,718,103,37,jim cramer said he was expecting a 40% pump from ethereum and you still decided to remain bullish,2020-05-23 15:48:28+00:00,0
111,111,Solsun8317,340,72,0,solsun found in a user vault at this location join me playing it is awesome,2022-01-19 04:15:10+00:00,1
